post_id,user_id,area,risk_tag,content
p044,22,프로젝트,NORMAL,프로젝트 평가 기준이 명확하지 않아요.
p045,55,프로젝트,RISK,프로젝트 때문에 매일 밤잠을 설쳐요.
p046,54,프로젝트,RISK,프로젝트 생각만 하면 가슴이 답답해져요.
p047,87,프로젝트,RISK,제가 맡은 파트가 너무 어려워서 팀에 민폐인 것 같아요.
p048,43,프로젝트,RISK,프로젝트가 시작된 이후로 계속 불안해요.
p049,15,프로젝트,RISK,이 프로젝트를 끝낼 수 있을지 자신이 없어요.
p050,68,프로젝트,RISK,프로젝트 때문에 번아웃이 온 것 같아요.
p051,78,프로젝트,RISK,프로젝트 실패하면 여기 남아 있을 이유가 없을 것 같아요.
p052,25,프로젝트,RISK,프로젝트 얘기만 나오면 도망치고 싶어요.
p053,58,프로젝트,NORMAL,역할 분담 가이드가 있으면 좋겠어요.
p054,20,프로젝트,NORMAL,예시 프로젝트를 먼저 보고 싶어요.
p055,80,프로젝트,NORMAL,프로젝트 일정 관리 템플릿이 있으면 좋겠어요.
p056,47,프로젝트,NORMAL,코드 리뷰 시간이 더 있었으면 해요.
p057,90,프로젝트,NORMAL,중간 피드백이 조금 더 잦았으면 해요.
p058,89,프로젝트,NORMAL,프로젝트 목표를 더 작게 쪼개줬으면 좋겠어요.
p059,56,프로젝트,NORMAL,프로젝트 결과물 예시가 있었으면 좋겠어요.
p060,83,프로젝트,NORMAL,프로젝트 가이드 문서를 한 곳에 모아줬으면 해요.
p061,34,학습,NORMAL,공부 시간을 어떻게 배분해야 할지 모르겠어요.
p062,100,학습,NORMAL,복습을 해도 금방 잊어버려요.
p063,18,학습,NORMAL,질문을 어떻게 정리해서 해야 할지 모르겠어요.
p064,15,학습,RISK,요즘 아무것도 머리에 안 들어와요.
p065,94,학습,RISK,공부하려고 앉으면 눈물부터 나요.
p066,39,학습,RISK,계속 실패하는 느낌이라 학습 의욕이 사라졌어요.
p067,47,학습,RISK,공부가 너무 고통스럽게 느껴져요.
p068,20,학습,RISK,내가 이 길을 선택한 게 잘못된 것 같아요.
p069,39,학습,RISK,예전보다 집중력이 심하게 떨어졌어요.
p070,22,학습,RISK,하루 종일 멍하니 있다가 하루가 끝나요.
p071,58,학습,NORMAL,학습 루틴을 어떻게 잡아야 할까요?
p072,45,학습,NORMAL,효율적으로 복습하는 방법이 궁금해요.
p073,68,학습,NORMAL,공부 계획을 세우는 게 너무 어려워요.
p074,91,학습,NORMAL,학습 진도를 스스로 체크하고 싶어요.
p075,56,학습,NORMAL,질문을 잘하는 방법이 궁금해요.
p076,30,학습,NORMAL,공부하면서 동기부여를 유지하는 방법이 있을까요?
p077,57,학습,NORMAL,집중력을 높이는 방법이 궁금해요.
p078,55,학습,NORMAL,학습 내용을 정리하는 방법을 알고 싶어요.
p079,36,학습,NORMAL,공부 방향이 맞는지 점검받고 싶어요.
p080,95,학습,NORMAL,학습 부담을 조금 줄이고 싶어요.
p081,44,팀,NORMAL,팀원 간 실력 차이가 많이 느껴져요.
p082,99,팀,NORMAL,소통 방식이 서로 달라서 자주 엇갈려요.
p083,97,팀,NORMAL,팀 회의가 효율적이지 않은 것 같아요.
p084,92,팀,RISK,팀원 때문에 스트레스가 너무 심해요.
p085,19,팀,RISK,팀에서 계속 혼자 떠안는 느낌이에요.
p086,87,팀,RISK,팀원에게 화가 나서 감정 조절이 안 돼요.
p087,91,팀,RISK,팀 분위기 때문에 매일이 지옥 같아요.
p088,31,팀,RISK,팀원들 생각만 하면 심장이 두근거려요.
p089,78,팀,RISK,팀 프로젝트 때문에 사람을 못 믿게 됐어요.
p090,41,팀,RISK,팀 때문에 캠프를 그만두고 싶어요.
p091,30,팀,NORMAL,역할 분담을 명확히 하고 싶어요.
p092,69,팀,NORMAL,팀 규칙을 초반에 정했으면 좋겠어요.
p093,58,팀,NORMAL,팀원 간 피드백 방법이 어려워요.
p094,44,팀,NORMAL,팀 갈등을 어떻게 해결해야 할지 모르겠어요.
p095,91,팀,NORMAL,회의록을 남기는 습관을 만들고 싶어요.
p096,98,팀,NORMAL,팀 커뮤니케이션 툴을 통일하고 싶어요.
p097,81,팀,NORMAL,팀 목표를 명확히 공유하고 싶어요.
p098,38,팀,NORMAL,팀원과 실력 차이를 줄이고 싶어요.
p099,97,팀,NORMAL,팀 협업 경험을 잘 남기고 싶어요.
p100,51,팀,NORMAL,팀 프로젝트를 통해 성장하고 싶어요.
p101,17,운영,RISK,운영진 중에 ○○○는 진짜 무능력의 끝판왕인 것 같아요. 공지 하나 제대로 못 쓰나요?
p102,39,팀,RISK,우리 팀장 진짜 사람 새끼 맞나 싶을 정도로 말이 안 통해요.
p103,14,운영,RISK,멘토라는 사람이 개소리만 하고 사라지는데 이게 교육인가요?
p104,50,운영,RISK,운영진이 학생을 호구로 보는 것 같아서 존나 화가 나요.
p105,61,팀,RISK,"팀원 ○○는 아무것도 안 하면서 입만 살아있어요, 진짜 짜증나요."
p106,44,운영,RISK,질문하면 매번 비꼬는 말투로 쳐다보는 강사 때문에 입도 열기 싫어요.
p107,18,운영,RISK,이 캠프 운영하는 사람들 전부 책임감이라는 게 없는 것 같아요.
p108,37,운영,RISK,프로젝트 피드백 준다는 사람이 헛소리만 늘어놓고 가네요.
p109,82,팀,RISK,팀 회의할 때마다 특정 팀원이 사람 무시하는 말투 써서 너무 스트레스예요.
p110,50,운영,RISK,운영 공지 볼 때마다 아 또 저 인간이네 이런 생각부터 들어요.
p111,37,학습,RISK,솔직히 요즘은 그냥 다 그만두고 싶어요. 아무 의미가 없는 것 같아요.
p112,93,학습,RISK,매일 아침 눈 뜨는 게 너무 힘들어서 캠프 생각만 하면 숨이 막혀요.
p113,73,학습,RISK,이 캠프 때문에 삶 전체가 망가진 느낌이에요.
p114,60,학습,RISK,여기 계속 있느니 차라리 나가는 게 낫겠다는 생각만 들어요.
p115,92,학습,RISK,노력해도 안 되는 걸 느끼니까 아예 포기하고 싶어요.
p116,68,학습,RISK,요즘은 아무 생각도 안 나고 그냥 사라지고 싶다는 생각만 들어요.
p117,28,학습,RISK,캠프 시작하고 나서 내가 쓸모없는 사람이라는 확신만 생겼어요.
p118,43,학습,RISK,계속 버티라고 하지만 더 버티면 안 될 것 같아요.
p119,27,학습,RISK,솔직히 말하면 이 상태로 계속 사는 게 너무 싫어요.
p120,41,학습,RISK,"여기서 나가면 실패자일까 봐 무서운데, 그래도 나가고 싶어요."
p121,81,학습,VERY_HIGH,요즘은 살아 있는 게 너무 버거워서 그냥 끝내고 싶다는 생각이 자주 들어요.
p122,78,학습,VERY_HIGH,이 캠프가 계기인 건 맞는 것 같아요. 계속 이렇게 사느니 죽고 싶다는 생각이 들어요.
p123,43,학습,VERY_HIGH,아무도 도와주지 않는 느낌이라 혼자 무너지고 있는 것 같아요.
p124,84,학습,VERY_HIGH,솔직히 말하면 내일이 와도 기쁘지 않아요.
p125,64,학습,VERY_HIGH,더는 잘해보고 싶은 마음도 없고 그만 멈추고 싶어요.
